Main Title,Full Review
Great selection but costly,I father enjoy the variety of films and television shows available on Netflix but I find the selection of childrens films isnt that great. They have also increased the price per screens which is quite unfortunate and costly.     I think that for the price of this product there should be more choices available for all audiences.   
BE CAREFUL BEFORE YOU SIGN UP NETFLIX,After retirement I activated an account with Netflix to watch movies. While activating an account I gave my credit card details. I used the account along with my wife for about 2 months. we dis not find good content of movies and therefore I wanted to cancel my account and remove my credit card details from the account. To my surprise I could not do this. I could just cancel my subscription but I could not cancel my account or remove my credit card details form the account. I contacted inline support . I was told that my account would be canceled. However the email received by me informed me as follows;     "We've changed your account email address as you asked. You will no longer be able to use shettyuc@outlook.com to sign in to Netflix; please use your new email address."     SO NOW I AM NOT SURE IF ALL MY DATA IS REMOVED FORM THE WEBSITE. TODAY WITH DATA SECURITY BEING IN QUESTION THIS BECOMES AN IMPORTANT ISSUE.'     SO BE CAREFUL WHEN YOU ACTIVATE AN ACCOUNT WITH NETFLIX.     OF COURSE I AM GOING TO TAKE THIS UP WITH REGULATORS:   
Netflix - replacement of tv,Netflix have taken taken place in the hearts very soon and the only reason is the contents they have. You have a large content to choose from they have great shows and movie to choos from. They have some great shows like russel peter virdas kevin harts what now and many more which are totally worth watching the second best part they have are the movie they have quite a good collection of bollywood as well as hollywood collection and the good thing about the app is everything is catagorised in a bery perfect way making it easy to choose what you really want to see netflix originals have a quality stuff to spend your spare time. The app provides you one month free and after that its 650 a month and I totally satisfied with ehat they charge because they provide stuff ehich is worth spending because you get the best value for your money.   
Netflix Indian version review,Hello friends this is lakahay and ill like to express my thoughts on the Netflix app which is available in india and wheather it is worth spending money on it.     So the Netflix app offers Great content. It has a large number of tv shows available and many hit bollywood movies are present.     It offers 1 month of free service and after it you have to pay 650 rs per month for it. It has a bunch of new good bollywood movies like Dangal Kaabil etc and many old  hit movies. It also offers the comedy show of vir das which Netflix is marketing aggressively.     The vir das comedy show is great. The app is install is worth the show alone. It has its own original Netflix series like 13 Reasons why narcos the house of cards etc. These series are very popular too.     But the with Netflix india is that all new seasons of these series are not available in the Indian version of the application.     For example I am a big fan of Narcos season 1 is available in the app but season 2 is not which is available in the American version. They are kind of discriminating with us pun intended.     The app experience is refined compared to Amazon prime video. But it is not worth 650rs for an Indian consumer every month.     You can watch every show with all seasons available on the websites for free.     Although you can enjoy the free trial and the vir das comedy show for a moth.     Thank you and pls hit a like     Do post your comments and questions in the comment section below   
Its a great product.I really appreciate yhe owner,Its a great product.once you buy it you never ever regret of it thats for sure.Truly amazing thing.once I was in the hospital admitted for around 35days or some more days and parents were probably not able to stay with.There it goes I ordered a series and my entire medical journey went away like 2 days ( more than one and half a month) .I liked the makers of series and the actors too.They just dont pretend but try to do the same as you say getting into the character or something     Moreover its great to try   
Netflix,I love Netflix . Just got a smart TV not to long ago . Have it on there also . Would like to see all seasons for some or all TV shows not just a few that are on here . . I really love netflix and it has been my primary source of entertainment only seconded to youtube . Love using netflix to watch shows that you can't get on cable . I can watch my movies on Netflix . Never buffers . LOVE IT . Use it while running on a treadmill . So much better than others apps . Thanks !   
Mobile theatre,It is the one of the worlds best online streaming app.     The qyakity of the apo is so good as compared to others.     You acn stream 24/7 any where any time at any corner of the world using your smartphine.     The seasons are really very good.     The seasons are original.     You can watch 1st in this app.     The feature of the app is very good.     Very good streaming.     The fees for this app is good.     Value for money     I personally use to watches new series.     Most popular app in America     I can rate this app 9 out of 10.   
Netflix,Netflix lets you stream films tv programs and box sets to your tv or cmputer. Theres a large list and some good titles but films dont get updated to often. The netflix original series are good and worth watching and is enjoyable television. The interface is good on the app and theres is not much buffering but that depends on your broad band speed. There is something for everyone on netflix and you usally get a months free trail then the monthly fee is around £7 that is pretty reasonable. All in all I would recommend getting netflix.   
Not worth for Subscription,Hi     Netflix is very costly and gives.very less variety of content most of them are very very old content which are shown in Latest release I tried 1 month free trial but paying 650 is not worth to pay  try other apps dont go for subscription waste of money.all old content nothing fresh but one thing is good it even runs on low speed net.   
Costly as compared to others,Netflix is video streaming services video on demand subscription based service from US. It has launched in India early this year. And I will share my experience with it. And will Consider it advantages or disadvantages with respect to other services available in India. Based on my experience I am not satisfied with their price policy etc. So I would tell what I don't like about it.     So its cons-     Price is not so much good as other very cheap as compared to this services are available right now.     It price range is     1 In Rs 500 monthly     one person can watch only @same time     not even hd content provided     2 In Rs 650 only hd content is available     Only two person can watch @same time     3 Rs 800 plan ultra hd is provided but not all content is present in ultra hd so its questionable to pay this much or not     Four person can watch @same time     So price are very much as many other service of around Rs50 is also available with just like same content     Also these people not even provide free one month trial without giving yours payment details.First you have to     provide your source of payment then they will give free on month trial that thing I disliked the most.     So you can think one is high price & other is no free trial even for a month.     Some pros -     Content is widely available & many new exclusive tv series available     Never slowed down its service thats good     But the price is more than adequate .Also many subscriptions services are available in cheap.So I will say it not good deal to go for it.     So overall seeing its pricing I will not recommend( Rs 650 per month for this service its costly than cable tv ) to anyone.Hence I will give just 2 stars out of 5.   
Lacks variety,They lack variety in content and is expensive as it charges 500 inr per month and lacks good Indian content. Whereas their competitors of Indian origin provide both Indian and western content in abundance at much cheaper rate. The only thing I like about Netflix is their smart TV support which is not available with other apps and for me watching whole movie and shows on a mobile is not as convenient as watching them on TV.   
Netflix or nothing!!,I love streaming the netflix at my time. I know for india its have limited contained. I don't know why. once I asked the services provider they said soon they will give the same content to all country. I'm using my aunt account whos in US. I've watch so many series like the 100 daredevil orange in the new black black mirror bates motel stranger things and many more. really I did enjoy a lot whatever they have but they don't have usa contain thats why I would like to give 4 star to this site   
Netflix,I am utilizing this site from the last month.To exploit this administration you will need to spend every month no less than 500 rupees. We are told about the imperative things Service.     Netflix is?and Why to subscribe .     This is an American spilling administration. 18 years after dispatch in the US could achieve India. It was propelled in India on Wednesday a week ago. At the same time the administration in all significant nations of the world aside from China which has given. The least expensive arrangement is Rs 500 month to month. In the event that you need to watch the HD content you extra Rs 150 or Rs 650 that would cost. The TV shows and films are accessible a great deal more assortment. Films are likewise accessible free at locales like the Torrance as well. Be that as it may Torrance is free however not legitimate. To download motion pictures on this framework can come in numerous risky infections and the danger of information burglary from the framework stays steady.   
Can't sign in any more,Hey everyone.     I loved the netflix app. But the recent updates have marred my experience. Firstly since about a month ago the chromecast support is broken.(And I used it a lot) Secondly the most recent update doesn't let me sign in anymore. Although I can sign in from a browser the app keeps reporting invalid password.:(     No problem signing into the website on the same device. Pointless waste of storage.     hope this review may help you     thanks for reading   
Does not Click With Me!,The popular streaming website Netflix launched in India more than 6 months ago. Known for its wide variety of content and its own series like House of Cards this streaming website has more than 90 million customers in over 100 countries including India. I was pretty much excited with its foray into the Indian market. However my excitement soon dissipated into air.     First of all since Netflix works through internet you need to have a solid broadband network. In fact if you want to subscribe for Ultra HD or 4K streaming you need to have a solid 4k television and an internet speed of around 100 mbps. Netflix itself advises vieweres to have an internet connection with a speed higher than 15Mb for a seamless streaming of 4k content. Adding to that you need to     The second issue is the variety of content. Netflix India has a narrower variety of content. In fact Netflix's most famous series House of Cards is not even available in India. Adding to that its Indian content too is pretty limited. Leaving aside few classic Bollywood movies and series there is very little it has to offer. I am not even talking about the regional Indian cinema here!     In conclusion Netflix is a good service if you want good American content. It has very limited Indian matter and frankly given the poor broadband services here in India it is likely that much of your time would be spend on waiting for the buffering to stop.   
Netflix focus on Hindi,I have been user of Netflix for more than 3 months. It is providing Good content for English Hindi and now Punjabi too.     It has a lot of good content for Kids. Pepa Teletubbies and Wiggles etc.     My favorite are English documentaries Netflix original series and hind movies.     If you are looking for Tamil titles and entertainment you would be disappointed.     Cost is too high at this moment. I hope they will make it more affordable so that many come on board.   
Good collection of movies and series,Netflix is a online streaming of movies and series website.It has started its services in india since last 3-4 months.     They are charging a fees of minimum 500 per month for its services after giving a month of subscription free.     Few features of Netflix which impressed me are as follows.        Video quality is very good. You can enjoy videos in normal quality or in HD or even in ultra HD depends upon its subscription fees.        Buffering is very fast.        If you stop a video at middle and again  open the same video after wards if resumes the video from the point where it was stopped or paused previously.        Sync very good between app and the website. Even if I pause or close a video in my laptop and open the same video in my mobile through app the video resumes from that point in app too.        A huge collection of movies and TV series.        Some great netflex original series like house of cards narcos daredevil and many others which you can watch directly in Netflix        Watch everything online so no need to fear virus or worm attack.           Through its has some great features I doubt this service would be successful in India as India is not much connected via broadband and mobile internet cost is high. And I don’t know if India is ready to pay a subscription fees of Rs 500 for its services.   
Finally in India,I also use to wonder why netflix is not India I think they heard me and finally netflix is in India.I love their service and its a great way to choose want you really want.     Unlike in India we need to watch show that are shown to us by cable tv operators which is always with the repeating movies and serials.Netflix is a place you need to subscribe to them and watch unlimited movies tv shows etc.     Netflix in India: I happy that netflix has come to indian audience to what I saw with the free subscription     I am using is that the collection of movies and tv shows are very limited.     I hope very soon they just provide all the data like full movies collection all the other features.   
Not cool for Indian,This site is not so cool for Indians.     As I heard about it that it entered in Indian market.     It has many shows and he movies which can be watched online. Its better than YouTube. But in India in present I has no market. Indian are not rich that they can afford Netflix.     Netflix is paid service. It cost 500 rupees per month. If in India YouTube is available then we didn't gonna pay to Netflix. These people are doing business only in India. And charges are too much for Indians.   
Good Service For Watching Movies,I am using this website from the last month.To take advantage of this service you will have to spend each month at least 500 rupees. We are told about the important things Service.     Netflix is?and Why to subscribe .     This is an American streaming service. 18 years after launch in the US could reach India. It was launched in India on Wednesday last week. Simultaneously the service in all major countries of the world except China which has provided.     The cheapest plan is Rs 500 monthly. If you want to watch the HD content you additional Rs 150 or Rs 650 that would cost.     The TV shows and movies are available much more variety. Movies are also available free at sites like the Torrance too. But Torrance is free but not legal. To download movies on this system can come in many dangerous viruses and the risk of data theft from the system remains constant.     How Subscribe     For the first month of the users is absolutely free. First you have to create their ID at Netflix. For this you Netflix website or Android iOS and Windows apps can use.     ID when you ask the credit or debit card information. Since the first month of service is free so there will deduct money from your account.   
Netflix now in India what is reality?,I just checked for Netflix on Mouthshut and it actually exists but it had two reviews written long time ago that too by US citizens about their experiences with it in the states. Now that they are slated to be launched in India I thought of giving here to the readers a glimpse of it.     Here it is in short what Netflix is all about and how it will impact us in India -     What is Netflix: Its an American company providing on-demand Internet streaming media. What it simply means is you can watch your favorite movies/TV shows simply on-demand over the internet. Netflix have a huge customer base in the US and some part of the world and have recently ventured into many other countries including India.  It offers movies and TV shows to be watched online and you can stream them on to your smart TV laptop mobiles etc.     How is it going to be in India? The service has been launched in India with subscription rate starting from about 500 a month with Ultra HD contents with which you can watch unlimited movies/TV shows. I understand there would be also a first month free trial period and the payment needs to happen via Credit card.     There will be a Netflix website on which most of their contents will be available for India but only few Bollywood options. As it grows they would be working on increasing the contents and even extending to regional languages.     However in India Netflix could possibly face several issues primarily related to  Censorship and others could be related to licencing cultural issues payment related and so on.     Now comes the important part - all of this looks quite attractive however all of this is possible with a high internet connectivity which is real pain in most part of the country. We are talking about streaming which means a movie can download about 3-4 GB data and hence it would need a good internet connection. (This could be a serious dampener in this whole concept).     Interestingly though Netflix has its presence in more than some 50 countries they don't operate in China (I am not sure of the reasons though).   
Customer service at netflix,Can only obtain regular net flix email addresses would love for everyone in management to be able to read about the type of customer service they really give and would love for all on internet to read about my experience:     I was very unhappy with customer service  I had an email that said to call customer service. Upon calling I was accused of fraudulent activity regarding the number of movies that I had reported being late arriving to you after I had mailed them.     I always wait the three days recommended and if I do not receive an email from net flix stating my movie had reached net flix.     Then I send in an email. I am not concerned with the number of times I do this but your policy states"after waiting 3 days contact net flix" which is what I do. If you will check my records I have never had a movie actually lost where it cost you a penny or that I had to pay for because it was lost also check out the total number of movies I have rented from you and the dollars spent.     It is a lot and I am a good customer with no other complaints NOT EVEN ONE about your services and I have convinced over a dozen of my friends to subscribe to your site. I am very unhappy about the "possible fraudelent activity concerning my account. I may even publish it on my movie club newletter and drop my subscription. It was very disturbing and upsetting considering that I was even asked not to report any more movies missing. Roy Mitchellp o box 1141 Andrews Texas 79714   
A Great Place to Rent DVD Movies,My membership at Netflix.com began about 3 years ago and my experience with Netflix has been excellent. As some of you may know by now I enjoy movies very much. I especially enjoy knowing that I don't have to go to the video store wait in long lines and pay late fees for overdue movie returns. I also enjoy the pleasure of walking to my mailbox and picking up my movies and having a relaxing weekend watching my favorite movies.     Netflix.com is an online movie video store: their speciality is DVD rentals. Netflix does not rent VHS. Netflix.com has a collection of more than 13500 movies that range from new releases classics foreign horror drama action comedy alternate (Homosexuality) and adult movies.     The membership is not limited to residency anyone in the world can become a member of Netflix.com.     Here's How it Works     You can rent all you want you can rent as many DVDs as you please for $20.00 a month. You keep a revolving library of up to 3 DVDs at a time but you can exchange them for new DVDs as often as you please. The number of DVDs you get depends on how fast you watch and return each of your DVDs. The website at Netflix.com is available 24 hours a day which makes searching and finding movies easy and convenient. Your membership fees are paid with a major credit card only Visa Master Charge or any credit card that's approved by Netflix.com.     Shipping and Postage is Free     After you've selected your movies at sign-up they will arrive at your home in 1 to 3 days first class mail. You will also receive a return postage paid envelope for your convenience when returning your movies. Once you return your movies to Netflix your next choice of movies will be shipped to you.     Introductory Fee Trail     As a new customer you will receive a 30 day free membership that you can cancel any time within the free trial period if you're not satisfied with the service. Also you can cancel your membership with Netflix any time without any fees.     Starting Your New Membership     Your new membership will began with your free trial. You would click ''Start My Free Trial'' anywhere on the site and complete the simple sign-up. Once signed up use the website to choose your movies. Your first three movies will ship the next business day and will arrive in 1 to 3 days.     The toll free number for Netflix.com customer service is 1-800-585-8131     I hope you find this source of movie rentals very helpful in your adventure when renting movies online.     Thanks for reading.   
More opportunities,Fake Review
Great service,Fake Review
Really enjoy netflix,Fake Review
Flexibility,Fake Review
Netflix is great!!,Fake Review
Trustable app,Fake Review
Delivery Time Is Delayed A Lot.,Fake Review
